dima12101gpu@gpulab1 ~/labs/gpu-programming/ray-tracing$ ./build/ray-tracing 
           Time step        No. of steps              OpenMP time
                   1                  60              716660
                   2                  60              687983
                   3                  60              686349
                   4                  60              687246
                   5                  60              688230
                   6                  60              687586
                   7                  60              689015
                   8                  60              686005
                   9                  60              687396
                  10                  60              685421
                  11                  60              686876
                  12                  60              687247
                  13                  60              687862
                  14                  60              683481
                  15                  60              686990
                  16                  60              684522
                  17                  60              685659
                  18                  60              684959
                  19                  60              682898
                  20                  60              684060
                  21                  60              683599
                  22                  60              682214
                  23                  60              681846
                  24                  60              682019
                  25                  60              682444
                  26                  60              682037
                  27                  60              682880
                  28                  60              680675
                  29                  60              682859
                  30                  60              682314
                  31                  60              680843
                  32                  60              682085
                  33                  60              678770
                  34                  60              681712
                  35                  60              678998
                  36                  60              679922
                  37                  60              677386
                  38                  60              679206
                  39                  60              677323
                  40                  60              679179
                  41                  60              677431
                  42                  60              676965
                  43                  60              677305
                  44                  60              675670
                  45                  60              675687
                  46                  60              674400
                  47                  60              673792
                  48                  60              674499
                  49                  60              675813
                  50                  60              673239
                  51                  60              673033
                  52                  60              673073
                  53                  60              671159
                  54                  60              672556
                  55                  60              671789
                  56                  60              670996
                  57                  60              672519
                  58                  60              669291
                  59                  60              671524
                  60                  60              668327
Ray-tracing time: 40s
Movie time: 1s
